PX_LAST	12MO_PUT_IMP_VOL
A UN Equity	46.1	26.08928221
AAL UW Equity	49.24	37.21386596
AAP UN Equity	173	28.46091055
AAPL UW Equity	116.44	24.56035901
ABBV UN Equity	61.79	25.61257427
ABC UN Equity	75.8	25.52983178
ABT UN Equity	38.5	23.70135049
ACN UN Equity	124.28	22.12153043
ADBE UW Equity	105.47	26.64796047
ADI UW Equity	73.29	25.89861201
ADM UN Equity	45.29	25.21274029
ADP UW Equity	98.015	19.58288125
ADS UN Equity	231.56	32.11735521
ADSK UW Equity	77.6	35.33010351
AEE UN Equity	50.54	19.92200557
AEP UN Equity	61.13	18.08874505
AES UN Equity	11.88	27.70611616
AET UN Equity	126.1	29.6159258
AFL UN Equity	69.98	19.22967828
AGN UN Equity	192.26	32.06899521
AIG UN Equity	66.73	25.14437218
AIV UN Equity	42.54	22.47243721
AIZ UN Equity	92.55	20.84581275
AJG UN Equity	50.77	18.88673184
AKAM UW Equity	67.06	32.41334336
ALB UN Equity	90.05	29.37022679
ALK UN Equity	89.66	31.40895622
ALL UN Equity	72.66	18.35442535
ALLE UN Equity	65.26	22.9433194
ALXN UW Equity	115.15	42.42154124
AMAT UW Equity	32.33	30.50301055
AME UN Equity	49.87	22.4013875
AMG UN Equity	156.26	29.53146959
AMGN UW Equity	149.39	24.74155834
AMP UN Equity	114.03	26.35004589
AMT UN Equity	106.27	23.28587811
AMZN UW Equity	763.71	30.5815092
AN UN Equity	47.92	31.83804523
ANTM UN Equity	143.73	28.71976736
AON UN Equity	112.93	20.71146899
APA UN Equity	65.64	34.41540635
APC UN Equity	69.96	34.60553856
APD UN Equity	148.3	20.87703306
APH UN Equity	68.16	19.63513456
ARNC UN Equity	20.76	37.66840017
ATVI UW Equity	36.99	34.62281235
AVB UN Equity	170.07	23.02357101
AVGO UW Equity	178.96	31.90096099
AVY UN Equity	71.67	22.19370558
AWK UN Equity	71.62	23.04458324
AXP UN Equity	75.17	24.41780577
AYI UN Equity	243.94	30.37111271
AZO UN Equity	792.98	20.8998546
BA UN Equity	153.46	23.27862441
BAC UN Equity	23.25	31.37512256
BAX UN Equity	44.89	23.06586178
BBBY UW Equity	47.72	27.25080295
BBT UN Equity	47.14	22.69828267
BBY UN Equity	48.46	35.2411767
BCR UN Equity	217.63	20.10463016
BDX UN Equity	167.83	20.35635512
BEN UN Equity	39.63	29.89552679
BF/B UN Equity	44.61	18.54818745
BHI UN Equity	64.61	23.63599681
BIIB UW Equity	287.02	36.10524248
BK UN Equity	48.63	24.51467661
BLK UN Equity	393.18	23.1660812
BLL UN Equity	75.66	23.90260302
BMY UN Equity	59.21	26.72427179
BRK/B UN Equity	166.08	17.84627591
BSX UN Equity	21.14	27.821094
BWA UN Equity	39.64	32.86365758
BXP UN Equity	125.73	22.83530681
C UN Equity	60.52	28.81907598
CA UW Equity	32.345	24.96174825
CAG UN Equity	37.78	24.67923569
CAH UN Equity	72.18	24.82166522
CAT UN Equity	93.96	26.40110574
CB UN Equity	132.65	16.83922321
CBG UN Equity	31.96	29.85665379
CBS UN Equity	63.6	25.69801262
CCI UN Equity	85.79	23.06175336
CCL UN Equity	52.3	25.15373611
CELG UW Equity	117.48	30.8309357
CERN UW Equity	49.45	29.74601649
CF UN Equity	28.51	42.62796066
CFG UN Equity	35.13	29.75011515
CHD UN Equity	44.48	21.97776727
CHK UN Equity	6.925	63.3332679
CHRW UW Equity	75.98	19.90145454
CHTR UW Equity	289.4	34.86686853
CI UN Equity	132.12	30.43753921
CINF UW Equity	77.19	18.07933277
CL UN Equity	65.28	18.50253143
CLX UN Equity	115.24	17.64465111
CMA UN Equity	68.55	29.28566185
CMCSA UW Equity	69.9	22.56184092
CME UW Equity	122	19.4621558
CMG UN Equity	383.24	34.67991295
CMI UN Equity	139.47	26.67558043
CMS UN Equity	40.51	19.82037155
CNC UN Equity	56.03	37.57308887
CNP UN Equity	24.08	21.69489106
COF UN Equity	90.8	29.60578975
COG UN Equity	22.74	39.63204845
COH UN Equity	37.38	28.85409043
COL UN Equity	93.01	26.78846672
COO UN Equity	173.93	23.76805321
COP UN Equity	51.34	30.05506799
COST UW Equity	159.91	18.15311681
COTY UN Equity	18.23	34.87641957
CPB UN Equity	59.08	20.18592893
CRM UN Equity	71.74	33.13519292
CSCO UW Equity	30.61	21.60825389
CSRA UN Equity	31.51	30.16210222
CSX UW Equity	36.65	26.21718389
CTAS UW Equity	120.39	20.1969912
CTL UN Equity	23.72	27.40775776
CTSH UW Equity	56.51	30.88567329
CTXS UW Equity	90.87	27.87165095
CVS UN Equity	76.98	24.83192183
CVX UN Equity	115.81	20.01633422
CXO UN Equity	137.18	38.77779459
D UN Equity	74.06	18.76375814
DAL UN Equity	51.19	32.61579879
DD UN Equity	74.21	23.4651564
DE UN Equity	100.81	24.33858136
DFS UN Equity	72.89	26.46814865
DG UN Equity	76.54	25.92515338
DGX UN Equity	90.69	20.79247206
DHI UN Equity	28.41	31.048503
DHR UN Equity	79.1	19.02116627
DIS UN Equity	104.45	20.70084311
DISCA UW Equity	28.7	33.84121608
DISCK UW Equity	27.71	33.86978063
DLPH UN Equity	69.68	28.44116096
DLR UN Equity	93.93	25.31639616
DLTR UW Equity	85.34	26.90553065
DNB UN Equity	121.58	23.58444075
DOV UN Equity	75.92	27.34747079
DOW UN Equity	57.87	23.52889767
DPS UN Equity	89.86	19.4259092
DRI UN Equity	75.69	23.07131334
DTE UN Equity	95.68	19.30467159
DUK UN Equity	75.14	18.76564648
DVA UN Equity	63.72	24.22574567
DVN UN Equity	47.01	40.26167918
EA UW Equity	81.71	30.24048787
EBAY UW Equity	29.87	28.42751604
ECL UN Equity	120.47	17.68317274
ED UN Equity	70.99	20.88668376
EFX UN Equity	116.33	22.04917572
EIX UN Equity	69.1	20.8665077
EL UN Equity	77.86	22.91227712
EMN UN Equity	75.79	27.73234991
EMR UN Equity	56.29	23.29284369
ENDP UW Equity	15.315	62.82116832
EOG UN Equity	103.64	31.11271539
EQIX UW Equity	349.96	28.08316834
EQR UN Equity	62.7	21.96421066
EQT UN Equity	67.41	32.72861469
ES UN Equity	52.71	19.08075491
ESRX UW Equity	69.24	29.08149354
ESS UN Equity	219.35	22.68641368
ETFC UW Equity	35.52	31.96626248
ETN UN Equity	67.44	24.7340601
ETR UN Equity	71.54	20.071056
EVHC UN Equity	65.81	33.85811263
EW UN Equity	90.02	33.31215065
EXC UN Equity	35.17	23.3258336
EXPD UW Equity	54.89	20.25481569
EXPE UW Equity	115.52	32.64957684
EXR UN Equity	72.58	23.64204811
F UN Equity	12.655	27.60542333
FAST UW Equity	48.52	24.76506944
FB UW Equity	120.97	28.9374204
FBHS UN Equity	55.53	23.12731055
FCX UN Equity	14.62	52.46594319
FDX UN Equity	198.31	25.91901168
FE UN Equity	31.05	24.24123269
FFIV UW Equity	143.87	28.14522647
FIS UN Equity	76.33	22.30788057
FISV UW Equity	106.38	20.55240114
FITB UW Equity	27.06	27.67207939
FL UN Equity	76.39	28.53049532
FLIR UW Equity	36.36	24.75941918
FLR UN Equity	55.54	28.50733236
FLS UN Equity	49.2	30.33032456
FMC UN Equity	57.51	28.40042179
FOX UW Equity	27.625	25.83155821
FOXA UW Equity	28.175	26.14571156
FRT UN Equity	138.69	19.84604715
FSLR UW Equity	32.71	47.30509918
FTI UN Equity	34.77	34.06212106
FTR UW Equity	3.4	40.22588251
FTV UN Equity	54.84	22.31538067
GD UN Equity	174.27	20.9493964
GE UN Equity	31.69	18.28601887
GGP UN Equity	26.09	29.6621326
GILD UW Equity	75.54	29.04491718
GIS UN Equity	62.31	21.08409602
GLW UN Equity	24.355	25.90327308
GM UN Equity	36.11	29.26686176
GOOG UW Equity	800.08	23.38472637
GOOGL UW Equity	820.61	23.51655414
GPC UN Equity	98.28	20.64450947
GPN UN Equity	71.84	28.7822352
GPS UN Equity	25.57	37.32334069
GRMN UW Equity	49.39	28.8077231
GS UN Equity	243.95	28.13026841
GT UW Equity	32.51	31.10705445
GWW UN Equity	235.16	23.14750007
HAL UN Equity	53.25	30.57037459
HAR UN Equity	110.26	5.662979543
HAS UW Equity	84.63	24.91985591
HBAN UW Equity	13.215	29.00749351
HBI UN Equity	22.52	31.63997207
HCA UN Equity	73.59	31.18814435
HCN UN Equity	63.74	24.28707064
HCP UN Equity	28.84	28.26365663
HD UN Equity	137.08	20.98670296
HES UN Equity	62.98	32.80156566
HIG UN Equity	48.26	23.77933357
HOG UN Equity	60.2	30.26804733
HOLX UW Equity	40.35	26.39601218
HON UN Equity	116.39	20.35925825
HP UN Equity	80.82	34.53528846
HPE UN Equity	23.735	28.90318963
HPQ UN Equity	15.56	28.73927224
HRB UN Equity	23.035	30.64073841
HRL UN Equity	34.06	24.87768487
HRS UN Equity	105.33	20.98094962
HSIC UW Equity	152.71	21.81745649
HST UN Equity	18.925	30.13258088
HSY UN Equity	98.95	18.9735392
HUM UN Equity	205.49	28.87569701
IBM UN Equity	168.58	21.50081985
ICE UN Equity	58.57	21.91064049
IFF UN Equity	118.86	20.9034522
ILMN UW Equity	127.24	39.31943337
INTC UW Equity	36.76	24.11060568
INTU UW Equity	117.75	22.47525834
IP UN Equity	53.29	24.02918314
IPG UN Equity	23.96	24.26909019
IR UN Equity	77.08	23.62746115
IRM UN Equity	31.51	26.74045126
ISRG UW Equity	633.26	24.83432432
ITW UN Equity	124.82	21.01522487
IVZ UN Equity	31.81	26.4178849
JBHT UW Equity	98.59	22.91014144
JCI UN Equity	43.075	23.86412757
JEC UN Equity	59.86	26.49239261
JNJ UN Equity	115.15	17.11726777
JNPR UN Equity	28.44	28.88954146
JPM UN Equity	85.92	23.7905254
JWN UN Equity	57.16	34.55401195
K UN Equity	73.11	21.41460927
KEY UN Equity	18.29	30.01741948
KHC UW Equity	84.17	21.79647201
KIM UN Equity	25.41	23.72044574
KLAC UW Equity	78.34	25.24757778
KMB UN Equity	114.31	18.50395361
KMI UN Equity	20.905	31.50363208
KMX UN Equity	62.24	34.91745377
KO UN Equity	41.47	16.80708513
KORS UN Equity	46.94	37.07661216
KR UN Equity	34.99	25.30012851
KSS UN Equity	55.46	34.70072377
KSU UN Equity	85.77	29.52087281
L UN Equity	47.39	17.25483087
LB UN Equity	72.78	26.48761901
LEG UN Equity	49.675	22.76629898
LEN UN Equity	43.89	30.40818764
LH UN Equity	127.12	21.89892309
LKQ UW Equity	32.42	25.25282458
LLL UN Equity	157.02	24.13677118
LLTC UW Equity	62.47	8.065681573
LLY UN Equity	70.53	23.90070611
LMT UN Equity	251.65	20.65865539
LNC UN Equity	67.31	31.92308713
LNT UN Equity	36.44	19.98934781
LOW UN Equity	74.21	23.62587173
LRCX UW Equity	104.9	28.99097351
LUK UN Equity	23.73	24.64922816
LUV UN Equity	49.92	30.8451303
LVLT UN Equity	56.3	22.81528406
LYB UN Equity	87.45	28.79249277
M UN Equity	40.4	31.96655772
MA UN Equity	104.81	23.77799694
MAA UN Equity	95.21	23.4072516
MAC UN Equity	69.12	24.54742531
MAR UW Equity	84.66	23.83314586
MAS UN Equity	32.265	28.47363821
MAT UW Equity	29.35	29.10303872
MCD UN Equity	121.94	17.53740275
MCHP UW Equity	65.42	25.60204862
MCK UN Equity	142.58	29.1447303
MCO UN Equity	97.62	25.27815985
MDLZ UW Equity	44.16	23.18552385
MDT UN Equity	73.4	22.54168186
MET UN Equity	57.43	28.40692488
MHK UN Equity	200.2	24.85134075
MJN UN Equity	72.28	23.05242313
MKC UN Equity	92.11	18.58354718
MLM UN Equity	220.77	30.17634543
MMC UN Equity	68.9	16.921009
MMM UN Equity	176.6	18.72874148
MNK UN Equity	53.01	51.20982269
MNST UW Equity	43.91	29.65210145
MO UN Equity	65.88	19.1880945
MON UN Equity	104.9	21.85426868
MOS UN Equity	29.86	36.50730776
MPC UN Equity	48.97	34.69505487
MRK UN Equity	62.23	23.6240863
MRO UN Equity	17.97	47.6057079
MS UN Equity	43.4	31.17255064
MSFT UW Equity	62.7	23.51360463
MSI UN Equity	83.04	22.92248573
MTB UN Equity	153.86	22.5732578
MTD UN Equity	421.69	20.24298463
MU UW Equity	20.35	42.90956507
MUR UN Equity	32.09	45.96394161
MYL UW Equity	37.89	37.70792469
NAVI UW Equity	16.62	37.04499513
NBL UN Equity	40.6	35.48571122
NDAQ UW Equity	68.31	19.86361372
NEE UN Equity	115.11	20.57534794
NEM UN Equity	31.05	42.98087142
NFLX UW Equity	123.44	41.02820255
NFX UN Equity	45.06	40.10880336
NI UN Equity	21.71	21.86961035
NKE UN Equity	51.73	23.82270279
NLSN UN Equity	43.01	24.72129793
NOC UN Equity	232.61	20.38778362
NOV UN Equity	39.74	37.4935683
NRG UN Equity	12.4	47.21252432
NSC UN Equity	107.6	24.50555944
NTAP UW Equity	36.66	31.07057861
NTRS UW Equity	90.34	24.79474686
NUE UN Equity	61.63	31.22014343
NVDA UW Equity	98.95	44.49473225
NWL UN Equity	46.38	26.98969253
NWS UW Equity	12.3	29.35239033
NWSA UW Equity	11.94	27.61545344
O UN Equity	54.37	23.4468825
OKE UN Equity	57.44	30.49814269
OMC UN Equity	87.41	20.93389212
ORCL UN Equity	41.01	22.9204136
ORLY UW Equity	277.92	23.06492932
OXY UN Equity	70.33	24.31104748
PAYX UW Equity	60.59	18.64380525
PBCT UW Equity	19.28	19.98336852
PBI UN Equity	15.47	29.19774248
PCAR UW Equity	65.84	26.74088142
PCG UN Equity	59.42	19.59850974
PCLN UW Equity	1513.98	28.4035054
PDCO UW Equity	40.17	25.81086874
PEG UN Equity	42.44	19.91644669
PEP UN Equity	104.57	16.66678184
PFE UN Equity	32.87	20.30619097
PFG UN Equity	58.91	25.28649891
PG UN Equity	83.83	16.81425392
PGR UN Equity	35.49	18.75138244
PH UN Equity	141.66	24.27864997
PHM UN Equity	19.05	30.8185534
PKI UN Equity	53.77	25.27157761
PLD UN Equity	51.37	24.4917265
PM UN Equity	90.12	19.06466107
PNC UN Equity	115.09	22.75320663
